"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 24 09:47:55 GMT 2022","Fri Jun 24 09:48:01 GMT 2022","6481","","WebpageTests","","WebpageTests","deleteAllUserData","deleteAllUserData()","Register a user, checks how many cookies on the site, delete user, checks again the number. If it smaller, it works."
"failed","Fri Jun 24 09:48:27 GMT 2022","Fri Jun 24 09:48:32 GMT 2022","4781","","WebpageTests","","WebpageTests","registerWithUserAndPass","Registration test with only Username & Password filled",""
"passed","Fri Jun 24 09:46:09 GMT 2022","Fri Jun 24 09:46:14 GMT 2022","5234","","WebpageTests","","WebpageTests","loginWithUsernameAndPass","Login with only username & password registered",""
"passed","Fri Jun 24 09:46:02 GMT 2022","Fri Jun 24 09:46:09 GMT 2022","6880","","WebpageTests","","WebpageTests","succesfulLoginTest","Login with registrated user",""
"passed","Fri Jun 24 09:46:55 GMT 2022","Fri Jun 24 09:46:57 GMT 2022","1269","","WebpageTests","","WebpageTests","siteStatusCodeTest","Test if the site is online with Rest",""
"passed","Fri Jun 24 09:48:38 GMT 2022","Fri Jun 24 09:48:42 GMT 2022","4776","","WebpageTests","","WebpageTests","fullRegisterTest","Registration test with valid datas",""
"passed","Fri Jun 24 09:45:52 GMT 2022","Fri Jun 24 09:45:55 GMT 2022","3048","","WebpageTests","","WebpageTests","termsExitWithXButton","Test if I click the X button the Terms popup disappears",""
"passed","Fri Jun 24 09:48:32 GMT 2022","Fri Jun 24 09:48:34 GMT 2022","2199","","WebpageTests","","WebpageTests","navigateToLandingPage","Test if I can navigate to the Landing Page without logging in",""
"passed","Fri Jun 24 09:48:34 GMT 2022","Fri Jun 24 09:48:38 GMT 2022","3766","","WebpageTests","","WebpageTests","normalLogOutTest","normalLogOutTest()","Simple Register, Login, Logut process"
"passed","Fri Jun 24 09:48:01 GMT 2022","Fri Jun 24 09:48:02 GMT 2022","446","","WebpageTests","","WebpageTests","navigateToSite","Test if the site is online",""
"passed","Fri Jun 24 09:45:47 GMT 2022","Fri Jun 24 09:45:52 GMT 2022","5227","","WebpageTests","","WebpageTests","loginWithoutRegTest","Login before register a user",""
"passed","Fri Jun 24 09:47:10 GMT 2022","Fri Jun 24 09:47:46 GMT 2022","36438","","WebpageTests","","WebpageTests","registerMultipleUser","registerMultipleUser()","Register multiple user"
"passed","Fri Jun 24 09:46:51 GMT 2022","Fri Jun 24 09:46:55 GMT 2022","4777","","WebpageTests","","WebpageTests","loginWithOnlyPasswordTest","Login with only password registered",""
"passed","Fri Jun 24 09:48:19 GMT 2022","Fri Jun 24 09:48:22 GMT 2022","2993","","WebpageTests","","WebpageTests","termsAcceptButton","Test if I click on the Accept button the Terms popup disappears",""
"failed","Fri Jun 24 09:46:14 GMT 2022","Fri Jun 24 09:46:19 GMT 2022","4850","","WebpageTests","","WebpageTests","registerWithOnlyUsername","Registration test with only username",""
"passed","Fri Jun 24 09:47:00 GMT 2022","Fri Jun 24 09:47:05 GMT 2022","4806","","WebpageTests","","WebpageTests","registerWithBasicData","Registration test with only Username,Password & Email fields are filled",""
"passed","Fri Jun 24 09:48:15 GMT 2022","Fri Jun 24 09:48:19 GMT 2022","4069","","WebpageTests","","WebpageTests","dataListingTest","dataListingTest()",""
"failed","Fri Jun 24 09:48:22 GMT 2022","Fri Jun 24 09:48:27 GMT 2022","4762","","WebpageTests","","WebpageTests","registerWithOnlyEmail","Registration test with only emailaddress",""
"passed","Fri Jun 24 09:45:55 GMT 2022","Fri Jun 24 09:46:02 GMT 2022","6561","","WebpageTests","","WebpageTests","dodifyDataTest","dodifyDataTest()","Update the profile, and check the updated cookie, if it contains the updated datas"
"passed","Fri Jun 24 09:46:57 GMT 2022","Fri Jun 24 09:47:00 GMT 2022","3009","","WebpageTests","","WebpageTests","termsWithReloadPage","Test if I reload the page, the window still exists",""
"passed","Fri Jun 24 09:46:19 GMT 2022","Fri Jun 24 09:46:46 GMT 2022","27078","","WebpageTests","","WebpageTests","blogListingTest","blogListingTest()","List the blogs"
"failed","Fri Jun 24 09:46:46 GMT 2022","Fri Jun 24 09:46:51 GMT 2022","4774","","WebpageTests","","WebpageTests","registerWithoutAnyData","Registration test without any data",""
"failed","Fri Jun 24 09:47:50 GMT 2022","Fri Jun 24 09:47:55 GMT 2022","4769","","WebpageTests","","WebpageTests","registerWithOnlyDescription","Registration test with only Description",""
"passed","Fri Jun 24 09:48:02 GMT 2022","Fri Jun 24 09:48:10 GMT 2022","8392","","WebpageTests","","WebpageTests","fileDownload","fileDownload()","Download all image to a newly created folder from the landing page"
"passed","Fri Jun 24 09:47:46 GMT 2022","Fri Jun 24 09:47:50 GMT 2022","4060","","WebpageTests","","WebpageTests","termsStillDisplayed","Test if I click on the outside of the Terms popup and it still displayed",""
"failed","Fri Jun 24 09:47:05 GMT 2022","Fri Jun 24 09:47:10 GMT 2022","5104","","WebpageTests","","WebpageTests","loginWithOnlyUsernameTest","Login with only username registered",""
"failed","Fri Jun 24 09:48:10 GMT 2022","Fri Jun 24 09:48:15 GMT 2022","4765","","WebpageTests","","WebpageTests","registerWithOnlyPassword","Registration test with only password",""
